name,platform,release_date,metascore,user_score,developer,publisher,genre
Fitness Boxing 3: Your Personal Trainer,Nintendo Switch,2024-12-05,70.0,7.8,syn Sophia,"Nintendo|Imagineer Co.,Ltd.",Exercise
Mighty Morphin Power Rangers: Rita's Rewind,PC,2024-12-10,75.0,7.2,Digital Eclipse,Digital Eclipse|Atari,2D Beat-'Em-Up
Mighty Morphin Power Rangers: Rita's Rewind,PlayStation 5,2024-12-10,70.0,6.3,Digital Eclipse,Digital Eclipse|Atari,2D Beat-'Em-Up
Mighty Morphin Power Rangers: Rita's Rewind,Nintendo Switch,2024-12-10,75.0,6.4,Digital Eclipse,Digital Eclipse|Atari,2D Beat-'Em-Up
Rusty Rabbit,PlayStation 5,2025-04-17,70.0,4.3,Nitro+,NetEase Games,Action Adventure
Gex Trilogy,PlayStation 5,2025-06-16,70.0,8.5,Limited Run Games,Limited Run Games,Compilation
Space Adventure Cobra: The Awakening,PlayStation 5,2025-08-26,70.0,6.1,Magic Pockets,Microids,2D Platformer
TRON: Catalyst,PC,2025-06-17,69.0,3.3,Bithell Games,Big Fan Games,Action Adventure
Ra Ra BOOM,PC,2025-08-12,69.0,3.8,Gylee Games,Gylee Games,2D Beat-'Em-Up
Eternal Strands,PC,2025-01-28,76.0,6.1,Yellow Brick Games,Yellow Brick Games,Action Adventure
Eternal Strands,PlayStation 5,2025-01-28,69.0,6.5,Yellow Brick Games,Yellow Brick Games,Action Adventure
Eternal Strands,Xbox Series X,2025-01-28,76.0,6.4,Yellow Brick Games,Yellow Brick Games,Action Adventure
Orcs Must Die! Deathtrap,PC,2025-01-28,69.0,5.4,Robot Entertainment,Robot Entertainment,Defense
YOUR HOUSE,PC,2025-03-27,69.0,6.6,PATRONES & ESCONDITES,PATRONES & ESCONDITES,Adventure
"Warhammer 40,000: Space Marine - Master Crafted Edition",PC,2025-06-10,69.0,6.3,SneakyBox,Sega|Sega Europe,Third Person Shooter
"Warhammer 40,000: Space Marine - Master Crafted Edition",Xbox Series X,2025-06-10,68.0,5.6,SneakyBox,Sega|Sega Europe,Third Person Shooter
SHUTEN ORDER,Nintendo Switch,2025-09-05,69.0,9.5,Neilo,Spike Chunsoft|DMM GAMES,Action Adventure
Heartworm,PC,2025-07-31,69.0,5.0,Vincent Adinolfi,DreadXP,Survival
Daemon X Machina: Titanic Scion,PC,2025-09-05,79.0,8.2,Marvelous First Studio,Marvelous Inc.|Marvelous Europe,Vehicle Combat Sim
Daemon X Machina: Titanic Scion,Nintendo Switch 2,2025-09-05,69.0,5.8,Marvelous First Studio,Marvelous Inc.|Marvelous Europe,Vehicle Combat Sim
Daemon X Machina: Titanic Scion,PlayStation 5,2025-09-05,65.0,5.4,Marvelous First Studio,Marvelous Inc.|Marvelous Europe,Vehicle Combat Sim
Deliver At All Costs,PC,2025-05-22,65.0,6.7,Far Out Games,Konami,Open-World Action
Deliver At All Costs,PlayStation 5,2025-05-22,69.0,7.0,Far Out Games,Konami,Open-World Action
Croc: Legend of the Gobbos Remastered,PlayStation 5,2025-04-02,69.0,7.1,Argonaut Games,Argonaut Games|Rock It Games,3D Platformer
Lost Records: Bloom & Rage Tape 2,PlayStation 5,2025-04-15,69.0,6.8,DONTNOD Entertainment,DONTNOD Entertainment,Third-Person Adventure
Lost Records: Bloom & Rage Tape 2,Xbox Series X,2025-04-15,79.0,7.8,DONTNOD Entertainment,DONTNOD Entertainment,Third-Person Adventure
Chains of Freedom,PC,2025-04-15,68.0,7.6,Nordcurrent,Nordcurrent,Turn-Based Tactics
Henry Halfhead,PlayStation 5,2025-09-16,68.0,5.8,LuLuLu Entertainment,LuLuLu Entertainment,Third-Person Adventure
Killing Floor 3,PlayStation 5,2025-07-24,68.0,6.7,Tripwire Interactive,Tripwire Interactive|PLAION,FPS
Killing Floor 3,PC,2025-07-24,67.0,5.6,Tripwire Interactive,Tripwire Interactive|PLAION,FPS
Dungeons & Dragons Neverwinter Nights 2: Enhanced Edition,PC,2025-07-15,68.0,4.9,Aspyr,Aspyr,Western RPG
