game_name,release_date,price,estimated_downloads,primary_tag
S.T.A.L.K.E.R.: Clear Sky - Enhanced Edition,2025-05-20,11.99,3560000,Action
Royal Quest Online,2024-12-19,0.0,591400,MMORPG
Nubby's Number Factory,2025-03-07,2.99,479200,Strategy
Puppet Team,2025-05-06,2.99,8600,Platformer
Alien Market Simulator,2025-05-26,7.29,1200,Simulation
Bugtopia,2025-05-22,3.59,14500,2D
Cheaters Cheetah,2025-03-10,5.79,49200,FPS
Darkwater,2025-04-22,5.49,29900,Early Access
Max Manos,2025-03-06,3.59,25800,Strategy
Conquest Dark,2025-04-30,5.79,110000,Action
SchoolBoy Runaway,2024-12-07,3.59,80400,Puzzle
Rock Star Life Simulator,2025-01-24,3.1,28300,Simulation
Uncle Chop's Rocket Shop,2024-12-05,10.49,71300,Adventure
Tower Unite,2025-04-19,10.49,2280000,Early Access
Hollywood Animal,2025-04-10,10.49,89100,Early Access
Youtubers Life 3 - Stream Together!,2025-05-22,10.49,8200,Early Access
Dinkum,2025-04-23,10.49,1400000,Open World
Echoes of Yi : Samsara,2025-04-18,10.49,12000,Action
Battle Shapers,2024-12-04,12.49,48100,FPS
Medieval Blacksmith,2025-04-14,10.49,44000,RPG
Talisman: Digital 5th Edition,2024-11-14,14.99,10000,Strategy
AI2U: With You 'Til The End,2025-01-24,9.99,26800,Early Access
The Happyhills Homicide 2: Out For Blood,2025-04-03,1.99,11300,Action
Skin Deep,2025-04-30,9.49,48900,Simulation
Retrowave 2,2024-12-05,2.99,4000,Early Access
SimRail - The Railway Simulator,2024-12-13,34.99,133700,Simulation
Grand MALL Simulator,2024-12-20,5.49,3900,Simulation
Back in Service: a Metro Driver,2025-01-27,9.29,7200,Simulation
Wizordum,2025-04-29,10.49,39100,Action
Snacko,2025-05-25,12.49,19800,Cute
BUTTON PRISON,2025-03-31,2.99,5200,Simulation
Bazaar Simulator,2025-01-30,2.99,7200,Early Access
Of Life and Land,2025-05-16,12.49,17500,Strategy
Ancient Kingdoms,2025-01-15,8.49,3300,Early Access
Menace from the Deep,2024-11-11,8.99,63900,Roguelike
Food Delivery Simulator,2024-12-10,4.49,15900,Simulation
Rebecca and the Sword of Nasty Curses,2025-05-16,9.89,3000,Sexual Content
Lilia: The Fallen Flower in the Prison City,2025-03-22,10.49,7400,Sexual Content
LumineNight,2024-11-29,12.49,7000,Adventure
The Last Visit: 98th,2025-05-20,3.59,1800,Horror
Warrior Maiden Lecia and the Lost Fortress,2025-05-24,10.49,5400,Sexual Content
Nordhold,2025-03-25,9.99,161300,Roguelike
Rosewater,2025-03-27,10.49,10300,Adventure
Loco Motive,2024-11-21,9.29,27400,Pixel Graphics
Sea Chronicles,2025-04-16,5.79,1800,Adventure
Finnish Cottage Simulator,2024-11-15,7.99,89000,Early Access
Chaos Express: Delivery Simulator,2025-01-23,7.99,10400,Early Access
The Unholy Priest,2025-04-04,3.99,8100,Early Access
Nebulock,2025-03-05,1.99,17000,Shooter
LOOTPLOT,2025-04-22,3.99,5800,Strategy
The Mr. Rabbit Magic Show,2025-04-30,0.0,393100,Adventure
Get a midnight snack without mom knowing,2025-04-04,1.99,1300,Simulation
Whispers of the Eyeless,2025-01-30,10.49,5300,Early Access
The Rewinder 2,2025-05-26,8.49,5900,Adventure
Grandpa High on Retro,2025-02-07,4.49,7600,Action
MALL MANAGER SIMULATOR,2025-05-16,3.99,3800,Simulation
Metal Bringer,2025-03-12,10.49,44600,Roguelike
The Bibites: Digital Life,2025-03-05,7.5,3800,Early Access
Mika and The Witch's Mountain,2025-01-22,10.49,59800,Adventure
Shining Princess Lapisphilia,2025-04-05,7.29,2300,Sexual Content
Airport X-Ray Simulator,2024-12-12,7.29,16800,Early Access
Teddy's Haven - A Fantasy Inspired Shop Simulator,2025-05-06,7.29,2600,Simulation
Skarab,2025-04-24,1.99,1000,Adventure
Ithya: Magic Studies,2025-05-07,6.99,20800,Fantasy
None Shall Intrude,2025-01-21,6.99,25600,Strategy
Together After Dark,2025-01-20,1.99,5600,Adventure
Lyca,2025-04-07,2.99,30700,Simulation
Vibrant Frame,2024-12-17,9.89,3100,Simulation
Twilight Wars,2025-05-23,7.99,4600,Turn-Based
Forsaken Frontiers,2025-05-26,7.99,17000,Adventure
咸鱼殿下 / My journey,2025-03-01,6.59,53500,Visual Novel
Cage of Roses,2025-02-17,7.29,3400,Visual Novel
Koira,2025-04-01,9.29,7500,Adventure
Horse Farm Simulator,2025-05-19,3.99,1100,Simulation
Minutescape,2025-04-15,3.59,18600,Strategy
Quartermain and the Cult of Cthulhu,2025-05-22,1.99,930,FPS
River Towns,2025-03-24,7.99,11000,Puzzle
Jacksmith: Weapons and Warriors,2025-05-13,3.59,61200,Crafting
Device Doctor Simulator 2024,2025-03-24,2.99,5400,FPS
Waifu App: 90 Days to Escape a Lonely Fate,2025-04-05,2.0,8100,Sexual Content
Among Ashes,2024-12-09,7.99,10400,Survival
Clonizer,2025-04-14,6.99,9600,Roguelike
Follow the meaning,2024-11-22,2.99,31700,Adventure
Neongarten,2025-04-22,5.79,2400,Strategy
of the Devil,2025-02-06,0.0,117000,Visual Novel
Final Outpost: Definitive Edition,2025-05-22,5.79,6100,Strategy
CRUEL,2025-01-09,5.79,43500,Action
Granny: Escape Together,2024-12-06,5.79,64000,Horror
Laundry & Supermarket Simulator,2025-05-02,5.79,2500,Simulation
Castle Doombad Classic,2024-12-12,5.79,2000,Strategy
GRIDROAD,2024-12-10,5.79,23500,Simulation
Tyrant's Realm,2025-01-16,5.79,51100,RPG
Revenge of the Mage,2025-01-16,3.59,17300,Early Access
KARMA: The Dark World,2025-03-27,12.49,86700,Simulation
Cinemaster Cinema Simulator,2025-03-27,3.49,11800,Simulation
Murky Divers,2024-12-12,5.49,538000,Horror
Ghost Frequency,2025-05-26,2.99,2500,Horror
CyberCorp,2025-04-22,4.99,33100,Shooter
Once Alive,2024-11-18,4.99,16400,Story Rich
Ketz: Galactic Overlords,2025-05-09,4.99,5500,Early Access
BrokenLore: DON'T WATCH,2025-04-25,4.99,12000,Horror
Silent Anomalies,2025-03-27,4.49,570,Horror
Alchemist Shop Simulator,2025-03-11,5.99,11200,Simulation
"Take me, Vitaly",2024-11-11,1.49,38000,Horror
Secret Agent Wizard Boy and the International Crime Syndicate,2025-03-06,5.79,33400,Early Access
Subterror,2025-01-04,4.49,30900,Horror
Pro Wrestler Story,2025-05-19,4.99,2200,Simulation
Gunswitch,2025-05-19,4.49,660,Early Access
I Am Legion: Stand Survivors,2025-03-07,4.99,72500,Action
The Forgotten Apartment,2025-05-23,2.49,510,Simulation
Screen Cat,2025-01-06,0.89,56500,Simulation
House of Lost Souls,2025-04-09,6.29,2000,Simulation
Hero of the Kingdom: The Lost Tales 3,2024-11-26,3.99,9000,Adventure
A Webbing Journey,2025-05-19,4.49,11600,Early Access
Villages & Dungeons,2025-05-20,3.99,9900,Roguelike
NIGHT STORE SIMULATOR,2024-12-06,1.99,330,Simulation
Driving Is Hard,2025-01-31,3.99,16200,Horror
Paper Battlefield,2025-03-29,3.99,848,Strategy
Barbecue with friends,2025-05-22,2.49,1200,Simulation
Chained in the Backrooms,2025-02-14,1.99,24100,Early Access
MementoMori,2025-03-25,0.0,18400,Simulation
CODERED 911,2025-04-14,3.59,840,Action
iDigging,2025-05-07,1.99,29900,Adventure
Without a Dawn,2025-05-19,4.49,3900,Visual Novel
